,ID,Type,Language_1,Lexeme_1,Meaning_1,Direction,Language_2,Lexeme_2,Meaning_2
0,shift0001, Polysemy,Abaza,пхьадзара (pχʲadʒara),"to calculate, count",→,Abaza,йпхьадзара (jpχʲadʒara),to presuppose
1,shift0001, Polysemy,Abkhaz,аԥхьаӡара (apʰxʲad͡zara),"to calculate, count",→,Abkhaz,аԥхьаӡара (apʰxʲad͡zara),to admit
2,shift0001, Polysemy,Batsbi,larʻlʻar,to count,→,Batsbi,larʻlʻar,"to consider, to admit"
3,shift0001, Polysemy,Danish,regne,"to calculate, count",→,Danish,regne,to take into account
4,shift0001, Polysemy,English,count,to determine the number of (objects in a group),→,English,count,"to reckon in, to include in consideration"
5,shift0001, Polysemy,French,compter,"to calculate, count",—,French,compter,to take into account
6,shift0001, Polysemy,Geez,ḥasaba,"compute, count",→,Geez,ḥasaba,"think, esteem"
7,shift0001, Polysemy,Hungarian,számít,"to calculate, count",→,Hungarian,számít,to take into account
8,shift0001, Polysemy,Hungarian,számol,"to calculate, count",→,Hungarian,számol,to take into account
9,shift0001, Derivation,Lezgian,hisab,count,NA,Lezgian,hisaba taq’un,"to neglect, not to take in consideration"
10,shift0001, Polysemy,Norwegian,regne,"to calculate, count",→,Norwegian,regne,to take into account
11,shift0001, Internal cognates,Russian,считать (sčitat'),to count,—,Russian,учитывать (učityvat'),to take into account
12,shift0001, Polysemy,Russian,sčitat'sja,"to consider, to regard",—,Russian,sčitat'sja,to take into account
13,shift0001, Polysemy,Sanskrit,gaṇ,"to count , number , enumerate , sum up , add up , reckon",→,Sanskrit,gaṇ,to take into account
14,shift0001, Polysemy,Serbian,рачунати (računati),"to calculate, count",→,Serbian,рачунати (računati),to take into account
15,shift0001, Derivation,Spanish,contar,"to calculate, count",→,Spanish,tener en cuenta,to take into account
16,shift0001, Polysemy,Turkish,say-,"to count, to calculate, to list",NA,Turkish,say-,"to take into account, to lay emphasis on smth"
34,shift0002, Polysemy,Azerbaijani,saymaq,"to calculate, count",→,Azerbaijani,saymaq,to respect
35,shift0002, Polysemy,Gagauz,say-,"to calculate, count",→,Gagauz,say-,to respect
36,shift0002, Polysemy,Ingush,karha,"to count, to reckon",→,Ingush,karha,"to respect, to honour"
37,shift0002, Polysemy,Karaim,say-,"to calculate, count",—,Karaim,say-,to respect
38,shift0002, Polysemy,Khmer,rɔap,count,—,Khmer,rɔap,"esteem, respect"
39,shift0002, Polysemy,Maya,xok,count,—,Maya,xok,respect
40,shift0002, Polysemy,Nahuatl,poa,count,—,Nahuatl,poa,"respect, esteem"
41,shift0002, Polysemy,Old East Slavic,чисти,to count,—,Old East Slavic,чисти,"to esteem, to respect"
42,shift0002, Polysemy,Old Irish,fo-midethar,to calculate,—,Old Irish,fo-midethar,to estimate
43,shift0002, Derivation,Russian,считать,"to calculate, count",—,Russian,почитать,to respect
44,shift0002, Polysemy,Telugu,ennu,count,—,Telugu,ennu,"think, esteem"
45,shift0002, Polysemy,Turkish,say-,"to count, to calculate, to list",—,Turkish,say-,"to respect, to honour"
58,shift0003, Polysemy,Ancient Greek,εὑρίσκω,"to find, to discover",→,Ancient Greek,εὑρίσκω,to consider
59,shift0003, Polysemy,Bagvalal,b=isã,to find,→,Bagvalal,b=isã,to have opinion
60,shift0003, Polysemy,Bulgarian,намирам,to find,→,Bulgarian,намирам,to have opinion
61,shift0003, Polysemy,Danish,finde,to find,→,Danish,finde,to have opinion
62,shift0003, Polysemy,English,find,to find,→,English,find,to consider
63,shift0003, Polysemy,French,trouver,to find,NA,French,trouver,to have an opinion
64,shift0003, Polysemy,German,finden,to find,→,German,finden,to have opinion
65,shift0003, Polysemy,Hungarian,talál,to find,→,Hungarian,talál,to have opinion
66,shift0003, Polysemy,Italian,trovare,to find,→,Italian,trovare,to consider
67,shift0003, Polysemy,Norwegian,finne,to find,→,Norwegian,finne,to have opinion
68,shift0003, Polysemy,Russian,находить (nakhodit'),to find,→,Russian,находить (nakhodit'),to consider
69,shift0003, Polysemy,Serbian,наћи (naći),to find,→,Serbian,наћи (naći),to have opinion
70,shift0003, Polysemy,Swedish,finna,to find,→,Swedish,finna,to consider as
71,shift0003, Polysemy,Tatar,табу,to find,→,Tatar,табу,to have opinion
72,shift0003, Polysemy,Turkish,bul-,to find,NA,Turkish,bul-,to think
88,shift0004, Polysemy,Alyawarr,arrkerneyel ,to taste,—,Alyawarr,arrkerneyel ,to try out
89,shift0004, Polysemy,Amharic,mokkärä,"to eat, take a mouthful, begin to eat",←,Amharic,mokkärä,"to try, test, to try on, try out, give a trial; to attempt, make an attempt"
90,shift0004, Derivation,Croatian,kušati,to taste,→,Croatian,pokušati,"to try, to attempt"
91,shift0004, Polysemy,English,try,to taste,←,English,try,"to try, to attempt"
92,shift0004, Polysemy,Finnish,maistaa,taste,—,Finnish,maistaa,try
93,shift0004, Polysemy,German,probieren,'durch eine Kostprobe den Geschmack von etw. pruerfen' [Duden 3014],←,German,probieren,"versuchen, ob etw. moeglich, durchfuehbar ist' [Dudeen 3014]"
94,shift0004, Polysemy,Gugu-yimidjir,baadal,to taste,—,Gugu-yimidjir,baadal,"to try, to attempt"
95,shift0004, Polysemy,Japanese,tamesu,taste,—,Japanese,tamesu,"test, try"
96,shift0004, Polysemy,Khoekhoe,tsâ,to taste (tr.),—,Khoekhoe,tsâ,"to try, to attempt"
97,shift0004, Polysemy,Kilivila,-yosikola-,taste,—,Kilivila,-yosikola-,try
98,shift0004, Polysemy,Kukatja,yarrkala,to taste,—,Kukatja,yarrkala,to try
99,shift0004, Polysemy,Macedonian,obide,to try (a dish etc),—,Macedonian,obide,to try (fig.)
100,shift0004, Polysemy,Malagasy,manàndrana,taste,—,Malagasy,manàndrana,try
101,shift0004, Polysemy,Maya,tumtah,taste,—,Maya,tumtah,try
102,shift0004, Polysemy,Nahuatl,yecoa:tla,"try or taste something (a dish, food)",—,Nahuatl,yecoa:tla,"do something, make an effort"
103,shift0004, Polysemy,Ngalakgan,many-ngu ,to taste,—,Ngalakgan,many-ngu ,"to try, to attempt"
104,shift0004, Polysemy,Ngarinyin,argu,to taste,—,Ngarinyin,argu,"to try, to attempt"
105,shift0004, Internal cognates,Old East Slavic,въкоусити,to taste,—,Old East Slavic,покуситися,to try
106,shift0004, Polysemy,Ponapean (Pohnpeian),soŋ,taste,—,Ponapean (Pohnpeian),soŋ,"try, attempt"
107,shift0004, Polysemy,Quechua,mal˜i-,taste,—,Quechua,mal˜i-,"test, try"
108,shift0004, Polysemy,Russian,probovat',to taste,←,Russian,пробовать (probovat'),to try
109,shift0004, Polysemy,Russian,пробовать,to taste,—,Russian,пробовать,"to try, to attempt"
110,shift0004, Polysemy,Serbian,кушати (kušati),to taste,→,Serbian,кушати (kušati),"to try, to attempt"
111,shift0004, Polysemy,Spanish,probar,to taste,↔,Spanish,probar,"to try, to attempt"
112,shift0004, Polysemy,Swahili,onja,taste,→,Swahili,onja,try
113,shift0004, Polysemy,Timogon-Murut,kinam (maŋ- -in),taste,—,Timogon-Murut,kinam (maŋ- -in),try
114,shift0004, Polysemy,Ts'ixa,dzaa,to taste (tr.),—,Ts'ixa,dzaa,"to try, to attempt"
115,shift0004, Polysemy,Yidiñ,banja-L ,to taste,—,Yidiñ,banja-L ,"to try (to do), to test"
144,shift0005, Cognates,Classical Arabic,ʔatā´,to come to somebody,—,Akkadian,atû,"to discover, to find by accident"
145,shift0005, Derivation,Croatian,ići,"to go, walk",→,Croatian,naći,to find
146,shift0005, Derivation,English,come,to come,→,English,come across,to find
147,shift0005, Cognates,Geez,maṣʔa,to come,→,Ancient Hebrew,mṣʔ,to find what was sought
148,shift0005, Derivation,Latin,"venio, -ire",to come,→,Latin,"invenio, -ire",to find
149,shift0005, Polysemy,Lithuanian,apeíti,to go round,—,Lithuanian,apeíti,to find
150,shift0005, Polysemy,Norwegian,komme,"to go, walk",→,Norwegian,komme,to find by chance
151,shift0005, Polysemy,Russian,найти (najti),to come across,→,Russian,найти (najti),to find
152,shift0005, Derivation,Russian,дыбать (dybat'),walk slowly,→,Russian,надыбать (nadybat'),"to find, to get"
153,shift0005, Derivation,Serbian,ићи (ići),"to go, walk",→,Serbian,наћи (naći),to find
164,shift0006, Polysemy,Burarra,borrwa-,"to think, consider",→,Burarra,borrwa-,"to remember, recall"
165,shift0006, Polysemy,English,think,"to have in the mind; to reflect, to ponder",→,English,think,"to recall, recollect"
166,shift0006, Polysemy,Even,"дё̄н, дё̄ндяк",thought,—,Even,"дё̄н, дё̄ндяк","memory, remembrance, recollection"
167,shift0006, Polysemy,French,penser,to think,→,French,penser,"to recall, recollect"
168,shift0006, Derivation,French,penser,to think,→,French,repenser,"to recall, recollect"
169,shift0006, Derivation,German,denken,think,→,German,Andenken,recollection
170,shift0006, Polysemy,Hungarian,gondol,to think,—,Hungarian,gondol,to remember / recall
171,shift0006, Derivation,Mandarin Chinese, 想 (xiǎng),"to think, to reflect, to ponder",→,Mandarin Chinese, 回想 (huíxiǎng),"to recall, recollect"
172,shift0006, Polysemy,Maori,mahara,"to think about, consider",—,Maori,mahara," to remember, recollect, bear in mind, know"
173,shift0006, Polysemy,Nganasan,корсилеса,to think,→,Nganasan,корсилеса,"to recall, recollect"
174,shift0006, Polysemy,Tundra Yukaghir,чуңдэ-,to think,→,Tundra Yukaghir,чуңрэңории-,"keep constantly in mind, constantly think about someone, remember, recall"
186,shift0007, Semantic evolution,Ancient Greek,μετατρέπω,to turn back,→,Modern Greek,μετατρέπω,to transform
187,shift0007, Polysemy,Armenian,dařnal,to turn (back),—,Armenian,dařnal,"to turn into, to become"
188,shift0007, Polysemy,Azerbaijani,dön-,"to turn (back), to roll over",→,Azerbaijani,dön-,to turn into
189,shift0007, Polysemy,Azerbaijani,çevir-,to turn,→,Azerbaijani,çevir-,to transform
190,shift0007, Polysemy,English,turn,to move about an axis through itself,→,English,turn,to become
191,shift0007, Cognates,French,tourner,"to rotate, turn",—,Portuguese,tornar-se,"to turn into, to become"
192,shift0007, Polysemy,Icelandic,umsnúa,to turn,—,Icelandic,umsnúa,to transform
193,shift0007, Semantic evolution,Irish Gaelic,iompaigh,"to turn, rotate (intr.)",→,Irish Gaelic,iompaigh,to become
194,shift0007, Polysemy,Karaim,кайыр-,"to turn, to rotate",NA,Karaim,кайыр-,to transform
195,shift0007, Polysemy,Kazakh,айналу,"to turn, rotate (intr.)",→,Kazakh,айналу,"to turn into, to change into"
196,shift0007, Polysemy,Kildin Saami,коаввсэ,to turn (back),→,Kildin Saami,коаввсэ,"to become similar, to turn into"
197,shift0007, Polysemy,Latin,"verto, -ere",to spin,—,Latin,"verto, -ere",to transform
198,shift0007, Cognates,Latin,"verto, -ere",to turn,—,German,werden,to become
199,shift0007, Polysemy,Lezgian,elqːün,"to spin, to swirl",—,Lezgian,elqːün,to turn into
200,shift0007, Polysemy,Old English,awendan,"to turn away/off, avert, remove, turn upside down",→,Old English,awendan,to turn into
201,shift0007, Polysemy,Russian,obernut'sja,to turn,NA,Russian,obernut'sja,to turn into
202,shift0007, Derivation,Russian,vraščat'sja,"to spin, to rotate",NA,Russian,prevratit'sja,to turn into
203,shift0007, Polysemy,Spanish,volver,to turn,NA,Spanish,volver,to transform
204,shift0007, Polysemy,Swahili,pindua,"to turn, to topple",—,Swahili,pindua,to transform
205,shift0007, Polysemy,Tabassaran,ilt’i(b)k’ub,"to spin, to roll",—,Tabassaran,ilt’i(b)k’ub,to transform
206,shift0007, Polysemy,Turkish,dön-,"to turn, rotate (intr.)",→,Turkish,dön-,to become
207,shift0007, Polysemy,Uzbek,aylan-,"to spin, to go round, to turn",NA,Uzbek,aylan-,to turn into
208,shift0007, Polysemy,Yuwaalaraay,gayarra-y,"to turn around, revolve",→,Yuwaalaraay,gayarra-y,"to turn into, transform"
209,shift0007, Polysemy,Yuwaalayaay,gayarra-y,"to turn around, revolve",→,Yuwaalayaay,gayarra-y,"to turn into, transform"
234,shift0008, Polysemy,Amharic,awwäḳä,"to know, be familiar with, be acquainted with, to know how to; to learn, acquire knowledge, become knowledgeable",→,Amharic,awwäḳä,to know how to
235,shift0008, Polysemy,Ancient Greek,οἶδα,"to know, be acquainted with [+accusative = something] ",→,Ancient Greek,οἶδα,to know how to [+infinitive = do something]
236,shift0008, Polysemy,Ancient Greek,ἐπίσταμαι ,to know,←,Ancient Greek,ἐπίσταμαι ,to know how
237,shift0008, Polysemy,Bulgarian,зная,to know,→,Bulgarian,зная,to know how
238,shift0008, Polysemy,Czech,umĕt,to know,—,Czech,umĕt,to be able of
239,shift0008, Derivation,English,know,to know,→,English,know how,to know how
240,shift0008, Polysemy,French,savoir,to know,→,French,savoir,to be able of
241,shift0008, Polysemy,Hungarian,tud,to know,→,Hungarian,tud,"to know how, to be able"
242,shift0008, Polysemy,Icelandic,kunna,to know,→,Icelandic,kunna,"to know how, to be able"
243,shift0008, Semantic evolution,Irish Gaelic,eolas,to know,→,Irish Gaelic,eolas,to know how
244,shift0008, Polysemy,Italian,sapere,to know,→,Italian,sapere,to know how
245,shift0008, Polysemy,Itelmen,хиӄ иԓ-,to know,—,Itelmen,хиӄ иԓ-,to know how
246,shift0008, Polysemy,Macedonian,znae,to know,NA,Macedonian,znae,to be able of
247,shift0008, Polysemy,Mehri,ġərōb,to know,→,Mehri,ġərōb,to know how (to do sth.)
248,shift0008, Polysemy,Norwegian,kunne,to know,→,Norwegian,kunne,"to know how, to be able"
249,shift0008, Polysemy,Rutul,гьацIын,to know,—,Rutul,гьацIын,to know how
250,shift0008, Polysemy,Selkup,тӓну́гу,to know,→,Selkup,тӓну́гу,to know how
251,shift0008, Polysemy,Spanish,saber,to know,→,Spanish,saber,to know how
252,shift0008, Polysemy,Sumerian,zu,to know,—,Sumerian,zu,to know how
253,shift0008, Polysemy,Swahili,jua,to know,—,Swahili,jua,to be able of
254,shift0008, Polysemy,Swedish,kunna,to have knowledge about,→,Swedish,kunna,"to know how, to be able"
255,shift0008, Polysemy,Tuvan,бил-,to know,NA,Tuvan,бил-,to be able of
256,shift0008, Polysemy,Zulu,azi,to know,→,Zulu,azi,to know how
280,shift0009, Polysemy,Ancient Greek,ζητέω,"to seek, search after, look for",—,Ancient Greek,ζητέω,"to strive for, desire, wish"
281,shift0009, Derivation,Classical Arabic,ṭalaba,to seek,→,Classical Arabic,ṭālaba (III stem),to demand
282,shift0009, Polysemy,Danish,søge,"to search, to look for",→,Danish,søge,"to try, to attempt"
283,shift0009, Polysemy,Estonian,ot'sima,look for,→,Estonian,ot'sima,try
284,shift0009, Polysemy,French,chercher,"to search, to look for",→,French,chercher,"to try, to attempt"
285,shift0009, Polysemy,Geez,ḫaśaśa,"seek, look for",→,Geez,ḫaśaśa,"study, pursue diligently, desire, wish"
286,shift0009, Borrowing,Hausa,biδa,seek,→,Haddiya,bu'n,"taste, try"
287,shift0009, Polysemy,Hungarian,keres,"look for something, seek something",→,Hungarian,keres,demand (something from someone)
288,shift0009, Polysemy,Hupa,wûn-,pursue or seek something,→,Hupa,wûn-,attempt something by persistent effort
289,shift0009, Polysemy,Indonesian,mencari,look for,→,Indonesian,mencari,try for
290,shift0009, Polysemy,Italian,cercare,to look for,NA,Italian,cercare,to try
291,shift0009, Polysemy,Itelmen,энхтзос,"to search, look for",→,Itelmen,энхтзос,"to try, to attempt"
292,shift0009, Polysemy,Khmer,rɔ:k,look for,→,Khmer,rɔ:k,try
293,shift0009, Polysemy,Korean,kwu hata,"looks for, seeks",→,Korean,kwu hata,tries
294,shift0009, Polysemy,Modern Greek,γυρεύω,"to look for, to seek",—,Modern Greek,γυρεύω,"to try, to make efforts"
295,shift0009, Polysemy,Norwegian,søke,"to search, to look for",→,Norwegian,søke,"to try, to attempt"
296,shift0009, Polysemy,Sumerian,kíĝ,to look for,→,Sumerian,kíĝ,"to aim at, attempt something"
297,shift0009, Polysemy,Swedish,söka,"to search, to look for",→,Swedish,söka,"to try, to attempt"
298,shift0009, Polysemy,Tamil,tēṭu,"seek, search for",→,Tamil,tēṭu,"inquire after, try (as to do a thing)"
299,shift0009, Polysemy,Udmurt,утчаны,"to search, to look for",→,Udmurt,утчаны,"to try, to attempt"
300,shift0009, Polysemy,Vietnamese,tìm,look for,→,Vietnamese,tìm,try
322,shift0010, Polysemy,Akhvakh,жо̄рулъІа,to call,—,Akhvakh,жо̄рулъІа,to read
323,shift0010, Polysemy,Akhvakh,жабулахъе,to call,—,Akhvakh,жабулахъе,to read
324,shift0010, Cognates,Ancient Hebrew,ḳārā(ʔ),"to call someone, to call, shout",—,Classical Arabic,ḳaraʔa,"to read (a book), to recite; to speak, to relate"
325,shift0010, Polysemy,Avar,цІалзи,to call,—,Avar,цІалзи,to read
326,shift0010, Polysemy,Geez,ʔanbaba,"utter a sound, proclaim, chant",—,Geez,ʔanbaba,"read, recite"
327,shift0010, Polysemy,Godoberi,бали,to call,—,Godoberi,бали,to read
328,shift0010, Polysemy,Mongolian (Khalkha),unši-,to call loudly,—,Mongolian (Khalkha),unši-,to read
336,shift0011, Polysemy,Ancient Hebrew,סִפֵּר sippēr (pi'el-stem),"to count out, count over again",—,Ancient Hebrew,סִפֵּר sippēr,"to report, tell"
337,shift0011, Internal cognates,French,compter,to count,—,French,raconter,"to tell, to narrate"
338,shift0011, Derivation,German,zählen,to count,—,German,erzählen,"to tell, to narrate"
339,shift0011, Derivation,Hungarian,számol,"count, render/give an account of something",→,Hungarian,beszámol,"give an account of something, relate something"
340,shift0011, Polysemy,Italian,contare,"to calculate, count",→,Italian,contare,"to tell, narrate"
341,shift0011, Borrowing,Latin,ratio,count,—,German,Rede,speech
342,shift0011, Polysemy,Malayalam,ennuka,"count, number",—,Malayalam,ennuka,"esteem, relate"
343,shift0011, Polysemy,Middle English,tale,"to calculate, count",→,Middle English,tale,"to tell, narrate"
344,shift0011, Derivation,Modern Hebrew,מִסְפֶָּר mispār,"number, quantity",—,Modern Hebrew,מִסְפֶָּר mispār,narrative
345,shift0011, Polysemy,Nahuatl,pōhua,count something,—,Nahuatl,pōhua,"read something, recount, relate, or give account of something"
346,shift0011, Polysemy,Old Uighur,са-,to count,—,Old Uighur,са-,to speak
347,shift0011, Polysemy,Portuguese,contar,to reckon,—,Portuguese,contar,"to tell, to narrate"
348,shift0011, Polysemy,Spanish,contar,"to calculate, count",→,Spanish,contar,"to tell, narrate"
349,shift0011, Polysemy,Sumerian,"šit, šid","calculate, count",—,Sumerian,"šit, šid","tell, recite"
350,shift0011, Cognates,Swedish,tälja,to count,—,Old Norse,telja,to speak
351,shift0011, Derivation,Zulu,ɓala,"count, calculate, take into account",→,Zulu,ɓalisa,"cause to count, recount the details of one`s personal affairs"
368,shift0012, Polysemy,Ahom,ʼan,to count,—,Ahom,ʼan,to read
369,shift0012, Polysemy,Dami (Marik),i-wese-ya,count,—,Dami (Marik),i-wese-ya,read
370,shift0012, Polysemy,Erzya,ловномс,"to calculate, count",—,Erzya,ловномс,to read
371,shift0012, Polysemy,Estonian,lugema,count,—,Estonian,lugema,"read, consider"
372,shift0012, Polysemy,Finnish,luke-,"calculate, count",—,Finnish,luke-,read
373,shift0012, Polysemy,Finongan,indani,to count,—,Finongan,indani,to read
374,shift0012, Polysemy,Hungarian,olvasni,"to calculate, count",—,Hungarian,olvasni,to read
375,shift0012, Polysemy,Itelmen,ањл̹нэ'л̹кас,to count,—,Itelmen,ањл̹нэ'л̹кас,to read
376,shift0012, Polysemy,Itelmen,л̹нэс,to count,—,Itelmen,л̹нэс,to read
377,shift0012, Polysemy,Karelian,lukie,"to calculate, count",—,Karelian,lukie,to read
378,shift0012, Polysemy,Kildin Saami,лōгкэ,to count,—,Kildin Saami,лōгкэ,to read
379,shift0012, Polysemy,Kilivila,-kalava-,count,—,Kilivila,-kalava-,read
380,shift0012, Polysemy,Kiribati,wareka,"count, calculate",—,Kiribati,wareka,read
381,shift0012, Polysemy,Komi,лыддьыны,"to calculate, count",—,Komi,лыддьыны,to read
382,shift0012, Polysemy,Komi-Permyak,лыддьыны,"to calculate, count",—,Komi-Permyak,лыддьыны,to read
383,shift0012, Polysemy,Koryak,йылӈык,to count,—,Koryak,йылӈык,to read
384,shift0012, Polysemy,Kwamera,-awsini,count,—,Kwamera,-awsini,read
385,shift0012, Polysemy,Lak,bukːin,to count,—,Lak,bukːin,to read
386,shift0012, Polysemy,Lango,"kwànnò, kwân",count,—,Lango,"kwànnò, kwân",read
387,shift0012, Polysemy,Mari,luɗa,count,—,Mari,luɗa,read
388,shift0012, Polysemy,Maya,xok,"count, number",—,Maya,xok,read
389,shift0012, Polysemy,Mekeo,e-kuapi (-na),count,—,Mekeo,e-kuapi (-na),read
390,shift0012, Polysemy,Motu,dulahi-a,count,—,Motu,dulahi-a,read
391,shift0012, Polysemy,Nahuatl,tlapōhua,count,—,Nahuatl,tlapōhua,read
392,shift0012, Polysemy,Navajo,ʻííníshtaʼ,count,—,Navajo,ʻííníshtaʼ,read
393,shift0012, Polysemy,Nganasan,туобталудя,to count,—,Nganasan,туобталудя,to read
394,shift0012, Derivation,Old East Slavic,чисти,"to count, to calculate",—,Old East Slavic,чисти,to read
395,shift0012, Derivation,Paiwan,supu,"to sum, amount, number, count",—,Paiwan,ki-supu,to read
396,shift0012, Polysemy,Rutul,кьыле гьыъын / q'ɨle hɨʔɨn,"to calculate, count",—,Rutul,кьыле гьыъын / q'ɨle hɨʔɨn,to read
397,shift0012, Polysemy,Samoan,faitau,count,—,Samoan,faitau,read
398,shift0012, Polysemy,Selkup,то̄ргу,"to calculate, count",—,Selkup,то̄ргу,to read
399,shift0012, Polysemy,Shan,ʼàan (ဢၢၼ်ႇ),"to calculate, count",—,Shan,ʼàan (ဢၢၼ်ႇ),to read
400,shift0012, Polysemy,Somali,tirin,"to calculate, count",—,Somali,tirin,to read poetry
401,shift0012, Polysemy,Sumerian,šid,to count,—,Sumerian,šid,to read
402,shift0012, Polysemy,Tai Lue,ʼaan¹ (ᦀᦱᧃᧈ),to count,—,Tai Lue,ʼaan¹ (ᦀᦱᧃᧈ),to read
403,shift0012, Polysemy,Takia,-siti,count,—,Takia,-siti,read
404,shift0012, Polysemy,Thai,àan (อ่าน),to count,—,Thai,àan (อ่าน),to read
405,shift0012, Polysemy,Thao,shupilh,to count,—,Thao,shupilh,to read
406,shift0012, Polysemy,Tolai (Kuanua),luk,count,—,Tolai (Kuanua),luk,read
407,shift0012, Polysemy,Tundra Yukaghir,чуҥ-,"to calculate, count",—,Tundra Yukaghir,чуҥ-,to read
408,shift0012, Polysemy,Udihe,таŋи-,to count,→,Udihe,таŋи-,to read
409,shift0012, Derivation,Udmurt,лыдӟыны,to read,→,Udmurt,лыдӟыны,"to calculate, count"
410,shift0012, Polysemy,Wantoat,kendeke,"to calculate, count",—,Wantoat,kendeke,to read
411,shift0012, Polysemy,Yakut,аах,"to calculate, count",—,Yakut,аах,to read
412,shift0012, Polysemy,Yoruba,kà,count,—,Yoruba,kà,read
458,shift0013, Polysemy,Akkadian,manû,"to count, to count and list",—,Akkadian,manû,"to consider a person, a region, an object as belonging to a specific class, region, or destination"
459,shift0013, Polysemy,Amharic,ḳʷäṭṭärä,"to count, enumerate, calculate, reckon",→,Amharic,ḳʷäṭṭärä,"to regard, consider as, ascribe, impute"
460,shift0013, Polysemy,Bagvalal,b=is'ĩ,<кто: ERG; кого/что: NOM>,NA,Bagvalal,b=is'ĩ,
461,shift0013, Polysemy,Balinese,(N)-ituŋ,calculate,→,Balinese,(N)-ituŋ,"think something other, weighing up the pros and cons"
462,shift0013, Derivation,Bulgarian,броя,"to calculate, count",→,Bulgarian,броя се,to be considered
463,shift0013, Polysemy,Bulgarian,сметна,"to calculate, count",→,Bulgarian,сметна,"to think, to suggest"
464,shift0013, Derivation,Classical Arabic,حَسَبَ ḥasaba,to count,—,Classical Arabic,حَسِبَ ḥasiba,"to believe, to think, to imagine"
465,shift0013, Polysemy,Croatian,računati,"to calculate, count",→,Croatian,računati,to have opinion
466,shift0013, Polysemy,Danish,regne,to calculate,→,Danish,regne,to consider as
467,shift0013, Polysemy,Egyptian,jp,"count, pay",→,Egyptian,jp,"consider, be reasonable"
468,shift0013, Polysemy,English,count,to find the number of smth.,—,English,count,"to consider to be, to regard as"
469,shift0013, Polysemy,Erzya,ловомс,"to calculate, count",→,Erzya,ловомс,to have opinion
470,shift0013, Polysemy,Estonian,arvama,"reckon, count",→,Estonian,arvama,"think, consider"
471,shift0013, Polysemy,French,compter,to count,—,French,compter,to have an opinion
472,shift0013, Polysemy,Fula,jatoo,to count,—,Fula,jatoo,"to think, to consider"
473,shift0013, Polysemy,Geez,ḫʷallaḳʷa,"count, number, enumerate",—,Geez,ḫʷallaḳʷa,"take account, review, impute, consider"
474,shift0013, Polysemy,German,zählen,to count,—,German,zählen,to be regarded as
475,shift0013, Polysemy,Hungarian,számol,count,→,Hungarian,számol,take into account/consideration
476,shift0013, Polysemy,Hungarian,számít,"to calculate, count",→,Hungarian,számít,to consider
477,shift0013, Polysemy,Icelandic,telja,to count,→,Icelandic,telja,to have opinion
478,shift0013, Derivation,Indonesian,menghitung,"count, calculate",→,Indonesian,memperhitungkan,"calculate, take into consideration"
479,shift0013, Semantic evolution,Irish Gaelic,comhair,"to calculate, count",→,Irish Gaelic,comhair,to take into account
480,shift0013, Polysemy,Italian,contare,to count,—,Italian,contare,to have an opinion
481,shift0013, Polysemy,Kannada,eṇike,"counting, number",→,Kannada,eṇike,thinking
482,shift0013, Polysemy,Khmer,rɔap,count,→,Khmer,rɔap,consider
483,shift0013, Polysemy,Komi,artal-,"count, calculate",→,Komi,artal-,think
484,shift0013, Polysemy,Komi-Permyak,лыддьыны,"to calculate, count",—,Komi-Permyak,лыддьыны,to have opinion
485,shift0013, Polysemy,Latin,ratio,"count, calculation",—,Latin,ratio,"thought, reflection"
486,shift0013, Derivation,Latin,"puto, -are",to calculate,—,Latin,"puto, -are",to have an opinion
487,shift0013, Polysemy,Lezgian,zi hisabdaldi,I reckon,—,Lezgian,zi hisabdaldi,"to my opinion, I guess (that)"
488,shift0013, Polysemy,Macedonian,broi,to count,—,Macedonian,broi,to think
489,shift0013, Polysemy,Manchu,bodo-,calculate,→,Manchu,bodo-,"plan, consider"
490,shift0013, Polysemy,Mandarin Chinese,算 (suàn）,"to count, to reckon, to calculate",→,Mandarin Chinese,算 (suàn）,"to assume, to admit"
491,shift0013, Polysemy,Mongolian (Khalkha),toolo-,"calculate, count",→,Mongolian (Khalkha),toolo-,consider
492,shift0013, Polysemy,Nahuatl,poa,count,→,Nahuatl,yolpoa,think
493,shift0013, Polysemy,Nanai,bodo-,"to count, to reckon, to calculate",—,Nanai,bodo-,"to regard as, to take smb for smth"
494,shift0013, Polysemy,Norwegian,regne,to calculate,→,Norwegian,regne,to consider as
495,shift0013, Polysemy,Rapanui,tapa,count,→,Rapanui,tapa,"consider, determine"
496,shift0013, Polysemy,Russian,sčitat',to count,—,Russian,sčitat',"to think, to believe"
497,shift0013, Polysemy,Serbian, рачунати (računati),"to calculate, count",→,Serbian, рачунати (računati),to have opinion
498,shift0013, Polysemy,Sumerian,šár,calculate,→,Sumerian,šár,consider carefully
499,shift0013, Polysemy,Swahili,kadiri,"to count, to compute, to calculate",—,Swahili,kadiri,"to suppose, to assume"
500,shift0013, Polysemy,Swahili,hesabu,count,→,Swahili,hesabu,consider (as)
501,shift0013, Polysemy,Swedish,räkna,to count,→,Swedish,räkna,to consider as
502,shift0013, Polysemy,Tamil,ēṇ,"number, calculation",—,Tamil,ēṇ,"thought, imagination"
503,shift0013, Polysemy,Tatar,санау,"to calculate, count",→,Tatar,санау,to have opinion
504,shift0013, Polysemy,Tatar,хисаплау,"to calculate, count",→,Tatar,хисаплау,to have opinion
